date,Sum,Weights,Projection,ProjWeights
04-Mar,22,0,31,0
05-Mar,45,0.511111111,52,0.403846154
06-Mar,68,0.338235294,73,0.287671233
07-Mar,142,0.521126761,121,0.396694215
08-Mar,154,0.077922078,156,0.224358974
09-Mar,176,0.125,167,0.065868263
10-Mar,237,0.257383966,236,0.292372881
11-Mar,277,0.144404332,273,0.135531136
12-Mar,454,0.389867841,447,0.389261745
13-Mar,454,0,458,0.024017467
14-Mar,569,0.202108963,579,0.208981002
15-Mar,827,0.311970979,815,0.289570552
16-Mar,1105,0.25158371,1114,0.268402154
17-Mar,1522,0.273981603,1524,0.269028871
18-Mar,1652,0.078692494,1651,0.076923077
19-Mar,2198,0.248407643,2182,0.24335472
20-Mar,2789,0.211903908,2783,0.215954006
21-Mar,3711,0.248450552,3715,0.250874832
22-Mar,3850,0.036103896,3847,0.034312451
23-Mar,3854,0.001037883,3867,0.005171968
24-Mar,5391,0.285104804,5789.5,0.332066672
25-Mar,6069,0.111715274,8376.5,0.308840208
26-Mar,7283,0.166689551,11018,0.239744055
27-Mar,8161,0.107584855,14645,0.247661318
28-Mar,9781,0.165627236,18860,0.223488865
