date,Sum,Weights,Projection,ProjWeights
04-Mar,11,0,23,0
05-Mar,33,0.666666667,40,0.425
06-Mar,80,0.5875,71,0.436619718
07-Mar,97,0.175257732,97,0.268041237
08-Mar,135,0.281481481,129,0.248062016
09-Mar,219,0.383561644,213,0.394366197
10-Mar,314,0.302547771,300,0.29
11-Mar,366,0.142076503,377,0.204244032
12-Mar,500,0.268,487,0.22587269
13-Mar,558,0.103942652,559,0.128801431
14-Mar,681,0.18061674,688.5,0.188090051
15-Mar,886,0.231376975,891,0.227272727
16-Mar,1067,0.169634489,1068,0.165730337
17-Mar,1211,0.118909992,1214,0.120263591
18-Mar,1345,0.099628253,1339,0.093353249
19-Mar,1794,0.250278707,1796,0.254454343
20-Mar,2503,0.283260088,2674,0.328347046
21-Mar,3062,0.182560418,3549,0.246548323
22-Mar,3752,0.183901919,4544.5,0.219056002
23-Mar,4994,0.248698438,5835.5,0.221232114
24-Mar,5856,0.147199454,7463,0.218075841
25-Mar,6558,0.107044831,9294,0.197008823
26-Mar,7993,0.179532091,11921,0.220367419
27-Mar,9481,0.15694547,15133.5,0.212277398
28-Mar,11150,0.149686099,19215.5,0.212432672
29-Mar,12881,0.134383976,24486,0.215245446
30-Mar,13989,0.07920509,31075,0.212035398
31-Mar,14810,0.055435517,39979,0.222716926
01-Apr,16497,0.102261017,51716,0.22695104
02-Apr,18496,0.108077422,70199,0.263294349
