date,Sum,Weights,Projection,ProjWeights
04-Mar,4,0,6,0
05-Mar,10,0.6,11,0.454545455
06-Mar,16,0.375,16,0.3125
07-Mar,25,0.36,24,0.333333333
08-Mar,37,0.324324324,34,0.294117647
09-Mar,45,0.177777778,45,0.244444444
10-Mar,48,0.0625,57,0.210526316
11-Mar,90,0.466666667,87,0.344827586
12-Mar,137,0.343065693,131,0.335877863
13-Mar,174,0.212643678,169.5,0.227138643
14-Mar,216,0.194444444,210.5,0.194774347
15-Mar,265,0.18490566,260,0.190384615
16-Mar,300,0.116666667,302,0.139072848
17-Mar,345,0.130434783,346,0.12716763
18-Mar,391,0.117647059,403,0.141439206
19-Mar,573,0.317626527,565,0.286725664
20-Mar,731,0.216142271,721.5,0.216909217
21-Mar,866,0.155889145,899,0.197441602
22-Mar,1024,0.154296875,1106.5,0.187528242
23-Mar,1077,0.049210771,1347,0.178544915
24-Mar,1220,0.117213115,1665.5,0.191233864
25-Mar,1428,0.145658263,2041.5,0.1841783
26-Mar,1656,0.137681159,2502.5,0.184215784
27-Mar,1955,0.152941176,3036.5,0.175860366
