,cases
0,0
1,1
2,2
3,4
4,25
5,30
6,66
7,86
8,101
9,111
10,175
11,281
12,346
13,392
14,484
15,648
16,801
17,688
18,936
19,1154
20,1407
21,1541
22,2105
23,2372
24,3033
25,3497
26,3542
27,3545
28,5615
29,6318
30,7197
31,7924
32,9235
33,10607
34,11400
35,12178
36,13225
37,14351
38,15427
39,16606
40,17885
41,18735
42,19384
43,20220
44,20929
45,21961
46,23028
47,23644
48,24267
49,24883
50,25300
51,25835
52,26383
53,27030
54,28006
55,28471
56,28971
57,29389
58,30185
59,30584
60,31106
61,32465
62,31669
63,31879
64,32184
65,32429
66,32687
