,cases
0,0
1,1
2,1
3,6
4,15
5,19
6,25
7,32
8,56
9,87
10,108
11,147
12,176
13,205
14,400
15,598
16,702
17,996
18,1090
19,1221
20,1333
21,1463
22,1550
23,1746
24,1914
25,2118
26,2385
27,2621
28,2863
29,3084
30,3369
31,3755
32,4015
33,4284
34,4445
35,4641
36,4863
37,5147
38,5370
39,5550
40,5687
41,5865
42,6086
43,6086
44,6211
45,6314
46,6409
47,6525
48,6603
49,6623
50,6740
51,6896
52,6937
53,7036
54,7078
55,7156
56,7191
57,7338
58,7401
59,7463
60,7499
61,7527
62,7599
63,7660
64,7710
65,7738
66,7783
67,7809
68,7847
69,7904
70,7955
71,7996
72,8034
73,8070
74,8099
75,8105
76,8132
77,8157
