,cases
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,2
27,3
28,11
29,14
30,14
31,19
32,32
33,62
34,87
35,146
36,179
37,225
38,326
39,424
40,620
41,771
42,923
43,994
44,1063
45,1146
46,1265
47,1410
48,1553
49,1733
50,1867
51,1983
52,2166
53,2396
54,2710
55,2996
56,3362
57,3662
58,3943
59,4359
60,4834
61,5320
62,5874
63,6475
64,6832
65,7172
66,7561
67,8299
68,8954
69,9599
70,10053
71,10448
72,10912
73,11349
74,11829
75,12433
76,13056
77,13744
78,14276
79,14665
80,15126
81,15832
82,16554
83,17307
84,18084
85,18557
86,18857
87,19404
88,20129
89,20907
90,21504
91,22036
92,22334
93,22592
94,23050
95,23687
96,24416
97,25157
98,25852
99,26361
100,26639
101,27050
102,27756
103,28415
104,29041
105,29692
106,30050
107,30308
108,30699
109,31315
110,32080
111,32661
112,33175
113,33578
114,33788
115,34242
116,34932
117,35675
118,36347
119,37065
120,37113
