date,Sum,Weights,Projection,ProjWeights
10-Mar,35,0,40,0
11-Mar,48,0.270833333,55,0.272727273
12-Mar,99,0.515151515,92,0.402173913
13-Mar,148,0.331081081,141,0.34751773
14-Mar,203,0.270935961,198,0.287878788
15-Mar,286,0.29020979,281,0.295373665
16-Mar,342,0.16374269,345,0.185507246
17-Mar,474,0.278481013,471,0.267515924
18-Mar,533,0.110694184,541,0.129390018
19-Mar,783,0.319284802,781,0.307298335
20-Mar,914,0.143326039,1025,0.23804878
21-Mar,1181,0.226079594,1296,0.209104938
22-Mar,1276,0.074451411,1623,0.201478743
23-Mar,1448,0.11878453,2065,0.214043584
24-Mar,1721,0.158628704,2601,0.206074587
25-Mar,1754,0.018814139,3243,0.197964847
26-Mar,2157,0.186833565,3983,0.185789606
27-Mar,2323,0.07145932,4915,0.189623601
28-Mar,2604,0.107910906,6184.5,0.205271243
29-Mar,2605,0.000383877,7791.5,0.206250401
30-Mar,3091,0.15723067,9695.5,0.196379764
