date,Sum,Weights,Projection,ProjWeights
06-Mar,16,0,16,0
07-Mar,17,0.058823529,18,0.111111111
08-Mar,19,0.105263158,23,0.217391304
09-Mar,36,0.472222222,35,0.342857143
10-Mar,49,0.265306122,49,0.285714286
11-Mar,75,0.346666667,75,0.346666667
12-Mar,129,0.418604651,127,0.409448819
13-Mar,230,0.439130435,216,0.412037037
14-Mar,253,0.090909091,253,0.146245059
15-Mar,287,0.118466899,288,0.121527778
16-Mar,391,0.265984655,387,0.255813953
17-Mar,444,0.119369369,450,0.14
18-Mar,597,0.256281407,600,0.25
19-Mar,788,0.242385787,791,0.241466498
20-Mar,922,0.145336226,1063,0.255879586
21-Mar,1142,0.192644483,1371,0.224653538
22-Mar,1425,0.198596491,1732,0.208429561
23-Mar,1602,0.110486891,2225.5,0.221747922
24-Mar,1883,0.149229952,2767,0.195699313
25-Mar,2140,0.120093458,3539.5,0.218251165
26-Mar,2347,0.088197699,4527,0.218135631
27-Mar,2810,0.164768683,5669,0.201446463
28-Mar,3150,0.107936508,6937,0.182787949
29-Mar,3450,0.086956522,8788.5,0.210673039
30-Mar,3732,0.075562701,11220.5,0.216746134
31-Mar,4063,0.081466896,14057,0.201785587
01-Apr,4382,0.072797809,17884,0.213990159
02-Apr,4695,0.066666667,23504.5,0.239124423
03-Apr,5081,0.075969297,30097.5,0.219054739
04-Apr,5571,0.087955484,39796,0.243705398
