date,Sum,Weights,Projection,ProjWeights
06-Mar,226,0,235,0
07-Mar,270,0.162962963,267,0.119850187
08-Mar,295,0.084745763,300,0.11
09-Mar,381,0.225721785,374,0.197860963
10-Mar,484,0.212809917,474,0.210970464
11-Mar,484,0,507,0.065088757
12-Mar,688,0.296511628,685,0.259854015
13-Mar,936,0.264957265,918,0.253812636
14-Mar,1154,0.188908146,1149,0.201044386
15-Mar,1407,0.17981521,1394,0.175753228
16-Mar,1541,0.086956522,1561,0.106982703
17-Mar,2105,0.267933492,2088,0.252394636
18-Mar,2372,0.112563238,2387,0.125261835
19-Mar,3033,0.217936037,3031,0.212471132
20-Mar,3497,0.132685159,3690,0.178590786
21-Mar,3542,0.012704687,4504,0.180728242
22-Mar,3545,0.000846262,5453.5,0.174108371
23-Mar,5615,0.368655387,6673.5,0.182812617
24-Mar,6318,0.111269389,8146,0.180763565
25-Mar,7197,0.122134223,9964,0.182456845
26-Mar,7924,0.091746593,12152,0.180052666
27-Mar,9235,0.141959935,14791.5,0.178447081
28-Mar,10607,0.129348543,18154,0.185220888
