date,Sum,Weights,Projection,ProjWeights
04-Mar,5,0,6,0
05-Mar,6,0.166666667,6,0
06-Mar,8,0.25,8,0.25
07-Mar,11,0.272727273,10,0.2
08-Mar,17,0.352941176,14,0.285714286
09-Mar,17,0,18,0.222222222
10-Mar,25,0.32,25,0.28
11-Mar,25,0,32,0.21875
12-Mar,52,0.519230769,53,0.396226415
13-Mar,102,0.490196078,95,0.442105263
14-Mar,121,0.157024793,120,0.208333333
15-Mar,168,0.279761905,170,0.294117647
16-Mar,325,0.483076923,318.5,0.466248038
17-Mar,442,0.264705882,437,0.271167048
18-Mar,474,0.067510549,479,0.087682672
19-Mar,637,0.25588697,642,0.253894081
20-Mar,801,0.20474407,1069.5,0.399719495
21-Mar,938,0.146055437,1568.5,0.318138349
22-Mar,1053,0.109211776,2255.5,0.304588783
23-Mar,1177,0.105352591,3275,0.31129771
24-Mar,1370,0.140875912,4689,0.301556835
25-Mar,1591,0.138906348,6825.5,0.313017361
26-Mar,1816,0.123898678,9767.5,0.301202969
27-Mar,1971,0.078640284,13926,0.298614103
