date,cases,tot_hosps,hospitalisations,
25/02/2020,0,0,0,
26/02/2020,1,0,0,
27/02/2020,1,0,0,
28/02/2020,6,0,0,
29/02/2020,15,0,0,
01/03/2020,19,0,0,
02/03/2020,25,0,0,
03/03/2020,32,0,0,
04/03/2020,56,0,0,
05/03/2020,87,0,0,
06/03/2020,108,0,0,
07/03/2020,147,0,0,
08/03/2020,176,1,1,
09/03/2020,205,5,4,
10/03/2020,400,8,10,
11/03/2020,598,4,15,
12/03/2020,702,6,18,Closed schools and non-essential businesses. Sports and cultural events banned. Restrictions on restaurants. 
13/03/2020,996,7,25,
14/03/2020,1090,16,33,Advised against foreign travel
15/03/2020,1221,12,40,
16/03/2020,1333,23,57,Closed ports and airports to all but re-patriating citizens and imported goods. 
17/03/2020,1463,30,69,
18/03/2020,1550,27,91,
19/03/2020,1746,23,123,
20/03/2020,1914,24,149,
21/03/2020,2118,29,172,
22/03/2020,2385,40,197,
23/03/2020,2621,50,232,
24/03/2020,2863,43,273,
25/03/2020,3084,35,328,
26/03/2020,3369,30,368,
27/03/2020,3755,24,403,
28/03/2020,4015,34,432,
29/03/2020,4284,37,456,
30/03/2020,4445,28,487,
31/03/2020,4641,37,523,
01/04/2020,4863,22,547,
02/04/2020,5147,28,583,
03/04/2020,5370,13,604,
04/04/2020,5550,24,629,
05/04/2020,5687,19,643,
06/04/2020,5865,28,661,
07/04/2020,6086,11,675,
08/04/2020,6086,7,698,
09/04/2020,6211,10,706,
10/04/2020,6314,9,713,
11/04/2020,6409,11,723,
12/04/2020,6525,10,732,
13/04/2020,6603,16,741,
14/04/2020,6623,5,751,
15/04/2020,6740,14,763,
16/04/2020,6896,9,767,
17/04/2020,6937,5,781,
18/04/2020,7036,4,790,
19/04/2020,7078,4,795,
20/04/2020,7156,160,800,
21/04/2020,7191,144,804,
22/04/2020,7338,129,812,
23/04/2020,7401,123,816,
24/04/2020,7463,120,824,
25/04/2020,7499,114,827,
26/04/2020,7527,122,832,
27/04/2020,7599,125,833,
28/04/2020,7660,119,839,
29/04/2020,7710,114,839,
30/04/2020,7738,98,840,
01/05/2020,7783,82,842,
02/05/2020,7809,81,844,
03/05/2020,7847,80,845,
04/05/2020,7904,82,847,
05/05/2020,7955,71,850,
06/05/2020,7996,62,854,
07/05/2020,8034,63,855,
08/05/2020,8070,61,857,
09/05/2020,8099,59,858,
10/05/2020,8105,60,859,
11/05/2020,8132,59,861,
12/05/2020,8157,59,864,
