date,cases,new_cases,0,ICU,
31/01/2020,1,1,0,0,
01/02/2020,1,0,0,0,
02/02/2020,1,0,0,0,
03/02/2020,1,0,0,0,
04/02/2020,1,0,0,0,
05/02/2020,1,0,0,0,
06/02/2020,1,0,0,0,
07/02/2020,1,0,0,0,
08/02/2020,1,0,0,0,
09/02/2020,1,0,0,0,
10/02/2020,1,0,0,0,
11/02/2020,1,0,0,0,
12/02/2020,1,0,0,0,
13/02/2020,1,0,0,0,
14/02/2020,1,0,0,0,
15/02/2020,1,0,0,0,
16/02/2020,1,0,0,0,
17/02/2020,1,0,0,0,
18/02/2020,1,0,0,0,
19/02/2020,1,0,0,0,
20/02/2020,1,0,0,0,
21/02/2020,1,0,0,0,
22/02/2020,1,0,0,0,
23/02/2020,1,0,0,0,
24/02/2020,1,0,0,0,
25/02/2020,1,0,0,0,
26/02/2020,2,1,0,0,
27/02/2020,3,1,0,0,
28/02/2020,11,8,0,0,
29/02/2020,14,3,0,0,
01/03/2020,14,0,0,0,
02/03/2020,19,5,0,0,
03/03/2020,32,13,0,0,
04/03/2020,62,30,0,0,
05/03/2020,87,25,0,0,
06/03/2020,146,59,0,0,
07/03/2020,179,33,0,0,
08/03/2020,225,46,0,0,
09/03/2020,326,101,0,0,
10/03/2020,424,98,0,0,"PHAS raise risk  to ""very high"". Advised social distancing for those with respiratory infections"
11/03/2020,620,196,1,1,Ban on gatherings of 500+
12/03/2020,771,151,0,1,
13/03/2020,923,152,2,3,"PHAS announce ""New stage"" of response."
14/03/2020,994,71,6,9,
15/03/2020,1063,69,6,15,
16/03/2020,1146,83,6,21,Social distancing advised by PHAS
17/03/2020,1265,119,4,25,
18/03/2020,1410,145,15,40,"Closed 16+ education, advised travelling within coutry be reduced"
19/03/2020,1553,143,13,53,
20/03/2020,1733,180,21,74,
21/03/2020,1867,134,19,93,
22/03/2020,1983,116,32,125,
23/03/2020,2166,183,45,170,
24/03/2020,2396,230,40,210,
25/03/2020,2710,314,44,254,
26/03/2020,2996,286,43,297,
27/03/2020,3362,366,40,337,Banned gatherings of 50+ 
28/03/2020,3662,300,32,369,
29/03/2020,3943,281,49,418,
30/03/2020,4359,416,38,456,
31/03/2020,4834,475,40,496,
01/04/2020,5320,486,58,554,
02/04/2020,5874,554,51,605,
03/04/2020,6475,601,54,659,
04/04/2020,6832,357,48,707,
05/04/2020,7172,340,55,762,
06/04/2020,7561,389,57,819,
07/04/2020,8299,738,56,875,
08/04/2020,8954,655,59,934,
09/04/2020,9599,645,50,984,
10/04/2020,10053,454,43,1027,
11/04/2020,10448,395,55,1082,
12/04/2020,10912,464,42,1124,
13/04/2020,11349,437,59,1183,
14/04/2020,11829,480,52,1235,
15/04/2020,12433,604,46,1281,
16/04/2020,13056,623,50,1331,
17/04/2020,13744,688,52,1383,
18/04/2020,14276,532,41,1424,
19/04/2020,14665,389,44,1468,
20/04/2020,15126,461,36,1504,
21/04/2020,15832,706,48,1552,
22/04/2020,16554,722,60,1612,
23/04/2020,17307,753,42,1654,
24/04/2020,18084,777,61,1715,
25/04/2020,18557,473,35,1750,
26/04/2020,18857,300,31,1781,
27/04/2020,19404,547,33,1814,
28/04/2020,20129,725,41,1855,
29/04/2020,20907,778,31,1886,
30/04/2020,21504,597,48,1934,
01/05/2020,22036,532,29,1963,
02/05/2020,22334,298,43,2006,
03/05/2020,22592,258,34,2040,
04/05/2020,23050,458,32,2072,
05/05/2020,23687,637,26,2098,
06/05/2020,24416,729,41,2139,
07/05/2020,25157,741,37,2176,
08/05/2020,25852,695,33,2209,
09/05/2020,26361,509,23,2232,
10/05/2020,26639,278,24,2256,
11/05/2020,27050,411,28,2284,
12/05/2020,27756,706,24,2308,
13/05/2020,28415,659,,,
14/05/2020,29041,626,,,
15/05/2020,29692,651,,,
16/05/2020,30050,358,,,
17/05/2020,30308,258,,,
18/05/2020,30699,391,,,
19/05/2020,31315,616,,,
20/05/2020,32080,765,,,
21/05/2020,32661,581,,,
22/05/2020,33175,514,,,
23/05/2020,33578,403,,,
24/05/2020,33788,210,,,
25/05/2020,34242,454,,,
26/05/2020,34932,690,,,
27/05/2020,35675,743,,,
28/05/2020,36347,672,,,
29/05/2020,37065,718,,,
30/05/2020,37113,48,,,
