Dates,Confirmed
01-04,282
02-04,382
03-04,473
04-04,312
05-04,158
06-04,424
07-04,347
08-04,301
09-04,140
10-04,142
11-04,140
12-04,157
13-04,156
14-04,258
15-04,199
16-04,178
17-04,168
18-04,106
19-04,114
20-04,215
21-04,202
22-04,229
23-04,232
24-04,165
25-04,136
26-04,122
27-04,219
28-04,136
29-04,140
30-04,150
01-05,152
02-05,117
03-05,78
04-05,124
05-05,123
06-05,107
07-05,124
08-05,69
09-05,65
10-05,60
11-05,79
12-05,58
13-05,71
14-05,64
15-05,91
16-05,35
17-05,50
18-05,81
19-05,63
20-05,72
21-05,31
22-05,73
23-05,36
24-05,36
25-05,52
26-05,63
27-05,52
28-05,39
29-05,46
30-05,33
31-05,22
01-06,36
02-06,56
03-06,54
