Dates,Staff,Students
22-04,41,18
23-04,27,37
24-04,33,30
25-04,47,22
26-04,34,18
27-04,18,17
28-04,35,25
29-04,23,34
30-04,46,21
01-05,33,37
02-05,18,15
03-05,12,20
04-05,9,13
05-05,16,5
06-05,51,5
07-05,47,47
08-05,43,29
09-05,22,31
10-05,12,11
11-05,3,5
12-05,26,28
13-05,12,16
14-05,27,26
15-05,31,32
16-05,20,27
17-05,5,12
18-05,5,9
19-05,23,16
20-05,18,25
21-05,10,33
22-05,17,13
23-05,13,16
24-05,1,12
25-05,5,4
26-05,11,27
27-05,2,12
28-05,32,33
29-05,21,36
30-05,13,30
31-05,4,16
01-06,11,14
02-06,3,12
03-06,9,22
04-06,12,29
05-06,21,45
06-06,0,42
07-06,4,15
08-06,5,11
09-06,10,30
10-06,9,28
11-06,23,38
