Dates,Confirmed
01-04,207
02-04,199
03-04,177
04-04,91
05-04,73
06-04,164
07-04,151
08-04,108
09-04,105
10-04,70
11-04,110
12-04,74
13-04,77
14-04,126
15-04,109
16-04,83
17-04,113
18-04,50
19-04,35
20-04,88
21-04,81
22-04,76
23-04,71
24-04,55
25-04,25
26-04,37
27-04,71
28-04,51
29-04,42
30-04,39
01-05,42
02-05,23
03-05,43
04-05,45
05-05,47
06-05,41
07-05,30
08-05,43
09-05,11
10-05,12
11-05,24
12-05,19
13-05,19
14-05,23
15-05,22
16-05,13
17-05,4
18-05,19
19-05,20
20-05,19
21-05,14
22-05,26
23-05,6
24-05,6
25-05,18
26-05,12
27-05,18
28-05,17
29-05,16
30-05,0
31-05,6
01-06,7
02-06,32
03-06,13
04-06,17
